中国,-,156000000
云南省,-,156530000
四川省,-,156510000
西藏自治区,-,156540000
海南省,-,156460000
广西壮族自治区,-,156450000
广东省,-,156440000
台湾省,-,156710000
贵州省,-,156520000
湖南省,-,156430000
福建省,-,156350000
江西省,-,156360000
浙江省,-,156330000
湖北省,-,156420000
陕西省,-,156610000
安徽省,-,156340000
江苏省,-,156320000
河南省,-,156410000
甘肃省,-,156620000
青海省,-,156630000
新疆维吾尔自治区,-,156650000
山东省,-,156370000
山西省,-,156140000
宁夏回族自治区,-,156640000
河北省,-,156130000
辽宁省,-,156210000
内蒙古自治区,-,156150000
吉林省,-,156220000
黑龙江省,-,156230000
西双版纳傣族自治州,-,156532800
勐拉镇,-,156532500
普洱市,-,156530800
红河哈尼族彝族自治州,-,156532500
临沧市,-,156530900
玉溪市,-,156530400
德宏傣族景颇族自治州,-,156533100
昆明市,-,156530100
保山市,-,156530500
楚雄彝族自治州,-,156532300
曲靖市,-,156530300
泸水市,-,156533301
大理白族自治州,-,156532900
攀枝花市,-,156510400
怒江傈僳族自治州,-,156533300
丽江市,-,156530700
昭通市,-,156530600
迪庆藏族自治州,-,156533400
凉山彝族自治州,-,156513400
山南市,-,156540500
日喀则市,-,156540200
林芝市,-,156540400
乐山市,-,156511100
拉萨市,-,156540100
雅安市,-,156511800
眉山市,-,156511400
甘孜藏族自治州,-,156513300
成都市,-,156510100
德阳市,-,156510600
昌都市,-,156540300
阿坝藏族羌族自治州,-,156513200
那曲市,-,156540600
阿里地区,-,156542500
玉树藏族自治州,-,156632700
果洛藏族自治州,-,156632600
甘南藏族自治州,-,156623000
黄南藏族自治州,-,156632300
三沙市,-,156460300
三亚市,-,156460200
海口市,-,156460100
湛江市,-,156440800
北海市,-,156450500
茂名市,-,156440900
防城港市,-,156450600
阳江市,-,156441700
钦州市,-,156450700
澳门特别行政区,-,156820000
珠海市,-,156440400
香港特别行政区,-,156810000
崇左市,-,156451400
中山市,-,156442000
深圳市,-,156440300
江门市,-,156440700
玉林市,-,156450900
高雄市,-,156711000
